id,date,store_id,product_id,quantity,revenue
1,2025-06-03,1,1,13,38987
2,2025-06-03,1,2,1,1999
3,2025-06-03,1,3,3,14997
4,2025-06-03,1,4,2,2998
5,2025-06-03,1,5,15,19485
6,2025-06-03,1,7,6,47994
7,2025-06-03,1,8,1,15999
8,2025-06-03,1,9,2,1198
9,2025-06-03,1,11,1,2499
10,2025-06-03,1,12,4,1596
11,2025-06-03,1,13,1,499
12,2025-06-03,1,14,2,598
13,2025-06-03,1,15,3,14997
14,2025-06-03,1,16,3,2397
15,2025-06-03,1,17,2,7998
16,2025-06-03,1,18,6,10794
17,2025-06-03,1,19,7,132993
18,2025-06-03,1,21,8,19992
19,2025-06-03,1,22,8,43992
20,2025-06-03,1,23,3,14997
21,2025-06-03,1,24,2,6998
22,2025-06-03,1,25,14,69986
23,2025-06-03,1,26,3,59997
24,2025-06-03,1,27,1,1299
25,2025-06-03,1,28,1,1799
26,2025-06-03,1,29,7,17493
27,2025-06-03,1,30,8,31992
28,2025-06-03,1,31,10,19990
29,2025-06-03,1,32,1,8999
30,2025-06-03,1,33,5,64995
31,2025-06-03,1,34,10,189990
32,2025-06-03,1,35,1,2999
33,2025-06-03,1,36,7,10493
34,2025-06-03,1,37,8,18392
35,2025-06-03,1,38,7,62993
36,2025-06-03,1,39,5,17495
37,2025-06-03,1,40,6,3594
38,2025-06-03,1,41,7,17493
39,2025-06-03,1,43,1,1999
40,2025-06-03,1,44,3,3897
41,2025-06-03,1,45,1,4999
42,2025-06-03,1,46,2,1598
43,2025-06-03,1,47,1,3499
44,2025-06-03,1,48,1,3999
45,2025-06-03,1,49,7,17493
46,2025-06-03,1,50,3,3897
47,2025-06-03,1,51,3,1497
48,2025-06-03,1,52,1,1999
49,2025-06-03,1,53,4,3596
50,2025-06-03,1,54,6,3594
51,2025-06-03,1,55,5,4495
52,2025-06-03,1,56,6,4194
53,2025-06-03,2,1,5,14995
54,2025-06-03,2,3,3,14997
55,2025-06-03,2,4,1,1499
56,2025-06-03,2,5,11,14289
57,2025-06-03,2,6,2,1798
58,2025-06-03,2,7,8,63992
59,2025-06-03,2,9,3,1797
60,2025-06-03,2,11,2,4998
61,2025-06-03,2,12,6,2394
62,2025-06-03,2,14,2,598
63,2025-06-03,2,15,4,19996
64,2025-06-03,2,16,9,7191
65,2025-06-03,2,17,3,11997
66,2025-06-03,2,18,6,10794
67,2025-06-03,2,19,9,170991
68,2025-06-03,2,21,4,9996
69,2025-06-03,2,22,7,38493
70,2025-06-03,2,23,3,14997
71,2025-06-03,2,24,1,3499
72,2025-06-03,2,25,6,29994
73,2025-06-03,2,26,3,59997
74,2025-06-03,2,28,1,1799
75,2025-06-03,2,29,6,14994
76,2025-06-03,2,30,5,19995
77,2025-06-03,2,31,4,7996
78,2025-06-03,2,32,7,62993
79,2025-06-03,2,33,2,25998
80,2025-06-03,2,34,6,113994
81,2025-06-03,2,35,3,8997
82,2025-06-03,2,36,3,4497
83,2025-06-03,2,37,6,13794
84,2025-06-03,2,38,3,26997
85,2025-06-03,2,39,6,20994
86,2025-06-03,2,40,4,2396
87,2025-06-03,2,41,6,14994
88,2025-06-03,2,43,1,1999
89,2025-06-03,2,44,1,1299
90,2025-06-03,2,46,2,1598
91,2025-06-03,2,47,2,6998
92,2025-06-03,2,48,2,7998
93,2025-06-03,2,49,7,17493
94,2025-06-03,2,50,4,5196
95,2025-06-03,2,51,1,499
96,2025-06-03,2,52,2,3998
97,2025-06-03,2,53,3,2697
98,2025-06-03,2,54,4,2396
99,2025-06-03,2,55,6,5394
100,2025-06-03,2,56,3,2097
101,2025-06-03,3,1,6,17994
102,2025-06-03,3,3,2,9998
103,2025-06-03,3,4,2,2998
104,2025-06-03,3,5,11,14289
105,2025-06-03,3,6,1,899
106,2025-06-03,3,7,6,47994
107,2025-06-03,3,8,1,15999
108,2025-06-03,3,9,3,1797
109,2025-06-03,3,11,1,2499
110,2025-06-03,3,12,3,1197
111,2025-06-03,3,14,2,598
112,2025-06-03,3,15,4,19996
113,2025-06-03,3,16,3,2397
114,2025-06-03,3,17,2,7998
115,2025-06-03,3,18,1,1799
116,2025-06-03,3,19,1,18999
117,2025-06-03,3,21,5,12495
118,2025-06-03,3,22,6,32994
119,2025-06-03,3,23,2,9998
120,2025-06-03,3,24,1,3499
121,2025-06-03,3,25,8,39992
122,2025-06-03,3,26,3,59997
123,2025-06-03,3,27,1,1299
124,2025-06-03,3,28,1,1799
125,2025-06-03,3,29,7,17493
126,2025-06-03,3,30,4,15996
127,2025-06-03,3,31,5,9995
128,2025-06-03,3,32,6,53994
129,2025-06-03,3,33,3,38997
130,2025-06-03,3,34,6,113994
131,2025-06-03,3,35,4,11996
132,2025-06-03,3,36,3,4497
133,2025-06-03,3,37,4,9196
134,2025-06-03,3,38,4,35996
135,2025-06-03,3,39,6,20994
136,2025-06-03,3,40,5,2995
137,2025-06-03,3,41,7,17493
138,2025-06-03,3,43,2,3998
139,2025-06-03,3,44,3,3897
140,2025-06-03,3,46,2,1598
141,2025-06-03,3,47,1,3499
142,2025-06-03,3,48,2,7998
143,2025-06-03,3,49,4,9996
144,2025-06-03,3,50,2,2598
145,2025-06-03,3,51,3,1497
146,2025-06-03,3,52,1,1999
147,2025-06-03,3,53,2,1798
148,2025-06-03,3,54,7,4193
149,2025-06-03,3,55,2,1798
150,2025-06-03,3,56,5,3495
151,2025-06-03,4,1,9,26991
152,2025-06-03,4,3,6,29994
153,2025-06-03,4,4,2,2998
154,2025-06-03,4,5,18,23382
155,2025-06-03,4,6,1,899
156,2025-06-03,4,7,12,95988
157,2025-06-03,4,8,2,31998
158,2025-06-03,4,9,4,2396
159,2025-06-03,4,11,2,4998
160,2025-06-03,4,12,7,2793
161,2025-06-03,4,13,1,499
162,2025-06-03,4,14,2,598
163,2025-06-03,4,15,8,39992
164,2025-06-03,4,16,6,4794
165,2025-06-03,4,17,2,7998
166,2025-06-03,4,18,5,8995
167,2025-06-03,4,19,13,246987
168,2025-06-03,4,21,11,27489
169,2025-06-03,4,22,7,38493
170,2025-06-03,4,23,3,14997
171,2025-06-03,4,24,2,6998
172,2025-06-03,4,25,8,39992
173,2025-06-03,4,26,5,99995
174,2025-06-03,4,27,1,1299
175,2025-06-03,4,28,2,3598
176,2025-06-03,4,29,8,19992
177,2025-06-03,4,30,7,27993
178,2025-06-03,4,31,5,9995
179,2025-06-03,4,32,8,71992
180,2025-06-03,4,33,5,64995
181,2025-06-03,4,34,12,227988
182,2025-06-03,4,35,5,14995
183,2025-06-03,4,36,1,1499
184,2025-06-03,4,37,8,18392
185,2025-06-03,4,38,9,80991
186,2025-06-03,4,39,3,10497
187,2025-06-03,4,40,1,599
188,2025-06-03,4,41,7,17493
189,2025-06-03,4,43,2,3998
190,2025-06-03,4,44,3,3897
191,2025-06-03,4,45,1,4999
192,2025-06-03,4,46,2,1598
193,2025-06-03,4,48,3,11997
194,2025-06-03,4,49,9,22491
195,2025-06-03,4,50,5,6495
196,2025-06-03,4,51,6,2994
197,2025-06-03,4,52,4,7996
198,2025-06-03,4,53,1,899
199,2025-06-03,4,54,13,7787
200,2025-06-03,4,55,9,8091
201,2025-06-03,4,56,6,4194
202,2025-06-03,5,1,5,14995
203,2025-06-03,5,3,1,4999
204,2025-06-03,5,4,1,1499
205,2025-06-03,5,5,14,18186
206,2025-06-03,5,6,1,899
207,2025-06-03,5,7,8,63992
208,2025-06-03,5,8,1,15999
209,2025-06-03,5,9,1,599
210,2025-06-03,5,11,1,2499
211,2025-06-03,5,12,2,798
212,2025-06-03,5,14,2,598
213,2025-06-03,5,15,3,14997
214,2025-06-03,5,16,3,2397
215,2025-06-03,5,17,1,3999
216,2025-06-03,5,18,3,5397
217,2025-06-03,5,19,6,113994
218,2025-06-03,5,21,5,12495
219,2025-06-03,5,22,5,27495
220,2025-06-03,5,23,1,4999
221,2025-06-03,5,24,1,3499
222,2025-06-03,5,25,7,34993
223,2025-06-03,5,26,1,19999
224,2025-06-03,5,27,1,1299
225,2025-06-03,5,28,1,1799
226,2025-06-03,5,29,8,19992
227,2025-06-03,5,30,7,27993
228,2025-06-03,5,31,10,19990
229,2025-06-03,5,32,6,53994
230,2025-06-03,5,33,3,38997
231,2025-06-03,5,34,7,132993
232,2025-06-03,5,35,1,2999
233,2025-06-03,5,36,3,4497
234,2025-06-03,5,37,9,20691
235,2025-06-03,5,38,4,35996
236,2025-06-03,5,39,6,20994
237,2025-06-03,5,40,5,2995
238,2025-06-03,5,41,7,17493
239,2025-06-03,5,43,1,1999
240,2025-06-03,5,44,2,2598
241,2025-06-03,5,45,1,4999
242,2025-06-03,5,46,1,799
243,2025-06-03,5,47,1,3499
244,2025-06-03,5,48,1,3999
245,2025-06-03,5,49,3,7497
246,2025-06-03,5,50,2,2598
247,2025-06-03,5,51,1,499
248,2025-06-03,5,52,2,3998
249,2025-06-03,5,53,2,1798
250,2025-06-03,5,54,7,4193
251,2025-06-03,5,55,4,3596
252,2025-06-03,5,56,4,2796
253,2025-06-03,6,1,5,14995
254,2025-06-03,6,2,1,1999
255,2025-06-03,6,3,2,9998
256,2025-06-03,6,4,1,1499
257,2025-06-03,6,5,15,19485
258,2025-06-03,6,6,2,1798
259,2025-06-03,6,7,8,63992
260,2025-06-03,6,8,1,15999
261,2025-06-03,6,9,2,1198
262,2025-06-03,6,11,3,7497
263,2025-06-03,6,12,3,1197
264,2025-06-03,6,14,2,598
265,2025-06-03,6,15,4,19996
266,2025-06-03,6,16,6,4794
267,2025-06-03,6,17,2,7998
268,2025-06-03,6,18,7,12593
269,2025-06-03,6,19,4,75996
270,2025-06-03,6,21,7,17493
271,2025-06-03,6,22,7,38493
272,2025-06-03,6,23,1,4999
273,2025-06-03,6,24,1,3499
274,2025-06-03,6,25,10,49990
275,2025-06-03,6,26,3,59997
276,2025-06-03,6,27,1,1299
277,2025-06-03,6,28,2,3598
278,2025-06-03,6,29,11,27489
279,2025-06-03,6,30,6,23994
280,2025-06-03,6,31,7,13993
281,2025-06-03,6,32,6,53994
282,2025-06-03,6,33,4,51996
283,2025-06-03,6,34,7,132993
284,2025-06-03,6,35,3,8997
285,2025-06-03,6,36,6,8994
286,2025-06-03,6,37,7,16093
287,2025-06-03,6,38,4,35996
288,2025-06-03,6,39,5,17495
289,2025-06-03,6,40,5,2995
290,2025-06-03,6,41,6,14994
291,2025-06-03,6,42,1,1799
292,2025-06-03,6,43,1,1999
293,2025-06-03,6,44,3,3897
294,2025-06-03,6,45,1,4999
295,2025-06-03,6,46,2,1598
296,2025-06-03,6,47,1,3499
297,2025-06-03,6,48,3,11997
298,2025-06-03,6,49,8,19992
299,2025-06-03,6,50,3,3897
300,2025-06-03,6,51,3,1497
301,2025-06-03,6,52,2,3998
302,2025-06-03,6,53,2,1798
303,2025-06-03,6,54,6,3594
304,2025-06-03,6,55,7,6293
305,2025-06-03,6,56,3,2097
306,2025-06-04,1,1,17,50983
307,2025-06-04,1,3,2,9998
308,2025-06-04,1,4,2,2998
309,2025-06-04,1,5,12,15588
310,2025-06-04,1,6,2,1798
311,2025-06-04,1,7,9,71991
312,2025-06-04,1,8,1,15999
313,2025-06-04,1,9,3,1797
314,2025-06-04,1,11,1,2499
315,2025-06-04,1,12,6,2394
316,2025-06-04,1,14,2,598
317,2025-06-04,1,15,3,14997
318,2025-06-04,1,16,7,5593
319,2025-06-04,1,17,3,11997
320,2025-06-04,1,18,6,10794
321,2025-06-04,1,19,7,132993
322,2025-06-04,1,21,5,12495
323,2025-06-04,1,22,4,21996
324,2025-06-04,1,23,4,19996
325,2025-06-04,1,24,3,10497
326,2025-06-04,1,25,12,59988
327,2025-06-04,1,26,3,59997
328,2025-06-04,1,27,1,1299
329,2025-06-04,1,28,1,1799
330,2025-06-04,1,29,11,27489
331,2025-06-04,1,30,10,39990
332,2025-06-04,1,31,5,9995
333,2025-06-04,1,32,8,71992
334,2025-06-04,1,33,7,90993
335,2025-06-04,1,34,9,170991
