id,snapshot_date,store_id,product_id,stock_quantity
1,2025-08-31,1,1,12
2,2025-08-31,1,2,19
3,2025-08-31,1,3,0
4,2025-08-31,1,4,0
5,2025-08-31,1,5,0
6,2025-08-31,1,6,0
7,2025-08-31,1,7,0
8,2025-08-31,1,8,0
9,2025-08-31,1,9,0
10,2025-08-31,1,10,20
11,2025-08-31,1,11,0
12,2025-08-31,1,12,0
13,2025-08-31,1,13,5
14,2025-08-31,1,14,0
15,2025-08-31,1,15,0
16,2025-08-31,1,16,0
17,2025-08-31,1,17,0
18,2025-08-31,1,18,0
19,2025-08-31,1,19,0
20,2025-08-31,1,20,23
21,2025-08-31,1,21,0
22,2025-08-31,1,22,0
23,2025-08-31,1,23,0
24,2025-08-31,1,24,0
25,2025-08-31,1,25,0
26,2025-08-31,1,26,0
27,2025-08-31,1,27,0
28,2025-08-31,1,28,0
29,2025-08-31,1,29,0
30,2025-08-31,1,30,0
31,2025-08-31,1,31,0
32,2025-08-31,1,32,0
33,2025-08-31,1,33,0
34,2025-08-31,1,34,0
35,2025-08-31,1,35,0
36,2025-08-31,1,36,0
37,2025-08-31,1,37,0
38,2025-08-31,1,38,0
39,2025-08-31,1,39,0
40,2025-08-31,1,40,0
41,2025-08-31,1,41,0
42,2025-08-31,1,42,0
43,2025-08-31,1,43,0
44,2025-08-31,1,44,0
45,2025-08-31,1,45,0
46,2025-08-31,1,46,0
47,2025-08-31,1,47,0
48,2025-08-31,1,48,0
49,2025-08-31,1,49,0
50,2025-08-31,1,50,0
51,2025-08-31,1,51,0
52,2025-08-31,1,52,0
53,2025-08-31,1,53,0
54,2025-08-31,1,54,0
55,2025-08-31,1,55,0
56,2025-08-31,1,56,0
57,2025-08-31,2,1,0
58,2025-08-31,2,2,19
59,2025-08-31,2,3,0
60,2025-08-31,2,4,0
61,2025-08-31,2,5,0
62,2025-08-31,2,6,0
63,2025-08-31,2,7,0
64,2025-08-31,2,8,0
65,2025-08-31,2,9,0
66,2025-08-31,2,10,12
67,2025-08-31,2,11,0
68,2025-08-31,2,12,0
69,2025-08-31,2,13,17
70,2025-08-31,2,14,0
71,2025-08-31,2,15,0
72,2025-08-31,2,16,0
73,2025-08-31,2,17,0
74,2025-08-31,2,18,0
75,2025-08-31,2,19,0
76,2025-08-31,2,20,43
77,2025-08-31,2,21,0
78,2025-08-31,2,22,0
79,2025-08-31,2,23,0
80,2025-08-31,2,24,0
81,2025-08-31,2,25,0
82,2025-08-31,2,26,0
83,2025-08-31,2,27,0
